apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 6, 1J, 5.43%, 5.56%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 6, 1J, 8.47%, 6.21%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 6, 1J, 6.61%, 7.01%
Phaidros Fds - Balanced C, Dividende & Zins, 6, 1J, 12.4%, 5.51%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 6, 1J, 9.71%, 6.59%
Sauren Global Stable Growth A, Dividende & Zins, 6, 1J, 10.77%, 5.04%
STARS Flexibel A, Dividende & Zins, 6, 1J, 12.56%, 10.2%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 6, 1J, 13.99%, 6.7%
Vermögensm. - Fonds Universal A, Dividende & Zins, 6, 1J, 1.48%, 3.58%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 6, 1J, 22.5%, 16.67%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 6, 1J, 10.55%, 5.19%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 6, 1J, 11.61%, 8.49%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 6, 3J, 21.64%, 8.16%
Ampega Balanced 3 I (t), Dividende & Zins, 6, 3J, 36.59%, 11.51%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 6, 3J, 13.59%, 7.88%
AURETAS strategy growth (D) A, Dividende & Zins, 6, 3J, 16.92%, 6.91%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 6, 3J, 10.44%, 11.72%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 6, 3J, 6.68%, 4.43%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 6, 3J, 6.68%, 4.44%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 6, 3J, 8.63%, 4.78%
BHF Flexible Allocation FT, Dividende & Zins, 6, 3J, 15.48%, 10.41%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 6, 3J, 5.13%, 6.93%
Credit Suisse MACS Dynamic P, Dividende & Zins, 6, 3J, 20.4%, 8.31%
Deutsche Bank Zins & Dividende, Dividende & Zins, 6, 3J, 9.23%, 4.98%
DJE - Zins & Dividende I EUR, Dividende & Zins, 6, 3J, 31.69%, 7.03%
DJE Concept I, Dividende & Zins, 6, 3J, 24.56%, 10.8%
easyfolio 70, Dividende & Zins, 6, 3J, 22.14%, 11.54%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 6, 3J, 14.05%, 10.82%
Gothaer Comfort Balance, Dividende & Zins, 6, 3J, 8.73%, 6.46%
Haspa PB Strategie - Chance, Dividende & Zins, 6, 3J, 16.55%, 12.9%
Haspa PB Strategie - Wachstum, Dividende & Zins, 6, 3J, 6.09%, 6.72%
HSBC Strategie Dynamik AC, Dividende & Zins, 6, 3J, 19.74%, 12.07%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 6, 3J, 7.61%, 7.36%
Lampe Dynamik, Dividende & Zins, 6, 3J, 7.38%, 12.03%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 6, 3J, 10.31%, 8.0%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 6, 3J, 9.91%, 6.83%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 6, 3J, 12.99%, 9.74%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 6, 3J, 0.22%, 12.92%
Phaidros Fds - Balanced C, Dividende & Zins, 6, 3J, 24.07%, 8.76%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 6, 3J, 13.36%, 9.62%
Sauren Global Stable Growth A, Dividende & Zins, 6, 3J, 15.94%, 6.27%
STARS Flexibel A, Dividende & Zins, 6, 3J, 14.87%, 11.7%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 6, 3J, 15.19%, 8.85%
Vermögensm. - Fonds Universal A, Dividende & Zins, 6, 3J, 9.11%, 4.53%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 6, 3J, 6.05%, 18.03%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 6, 3J, 6.93%, 8.62%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 6, 3J, 9.36%, 12.44%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 6, 5J, 45.89%, 7.08%
Ampega Balanced 3 I (t), Dividende & Zins, 6, 5J, 92.02%, 11.45%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 6, 5J, 32.31%, 6.88%
AURETAS strategy growth (D) A, Dividende & Zins, 6, 5J, 41.9%, 6.37%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 6, 5J, 34.11%, 10.61%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 6, 5J, 19.51%, 4.08%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 6, 5J, 19.5%, 4.08%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 6, 5J, 21.35%, 4.28%
BHF Flexible Allocation FT, Dividende & Zins, 6, 5J, 35.95%, 9.2%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 6, 5J, 17.44%, 6.16%
Credit Suisse MACS Dynamic P, Dividende & Zins, 6, 5J, 42.17%, 7.77%
Deutsche Bank Zins & Dividende, Dividende & Zins, 6, 5J, n/a, n/a
DJE - Zins & Dividende I EUR, Dividende & Zins, 6, 5J, 53.99%, 6.35%
DJE Concept I, Dividende & Zins, 6, 5J, 50.76%, 10.2%
easyfolio 70, Dividende & Zins, 6, 5J, n/a, n/a
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 6, 5J, 51.61%, 9.84%
Gothaer Comfort Balance, Dividende & Zins, 6, 5J, 29.73%, 5.83%
Haspa PB Strategie - Chance, Dividende & Zins, 6, 5J, 40.09%, 11.14%
Haspa PB Strategie - Wachstum, Dividende & Zins, 6, 5J, 22.28%, 6.02%
HSBC Strategie Dynamik AC, Dividende & Zins, 6, 5J, 42.45%, 10.82%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 6, 5J, 16.18%, 6.45%
Lampe Dynamik, Dividende & Zins, 6, 5J, 33.93%, 10.78%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 6, 5J, 29.24%, 8.4%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 6, 5J, n/a, n/a
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 6, 5J, n/a, n/a
Oppenheim Dynamic Europe Bal., Dividende & Zins, 6, 5J, 33.56%, 11.73%
Phaidros Fds - Balanced C, Dividende & Zins, 6, 5J, 46.78%, 7.52%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 6, 5J, 38.67%, 8.83%
Sauren Global Stable Growth A, Dividende & Zins, 6, 5J, 40.92%, 5.75%
STARS Flexibel A, Dividende & Zins, 6, 5J, n/a, n/a
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 6, 5J, 42.18%, 8.27%
Vermögensm. - Fonds Universal A, Dividende & Zins, 6, 5J, 6.35%, 4.31%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 6, 5J, 18.34%, 16.85%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 6, 5J, 31.64%, 8.47%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 6, 5J, 37.67%, 11.4%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 5, 1J, 9.68%, 7.36%
Ampega Balanced 3 I (t), Dividende & Zins, 5, 1J, 11.48%, 9.47%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 5, 1J, 7.2%, 5.33%
AURETAS strategy growth (D) A, Dividende & Zins, 5, 1J, 5.96%, 5.66%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 5, 1J, 11.65%, 9.57%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 5, 1J, 6.35%, 3.5%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 5, 1J, 6.35%, 3.51%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 5, 1J, 3.93%, 3.42%
BHF Flexible Allocation FT, Dividende & Zins, 5, 1J, 8.68%, 7.89%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 5, 1J, 4.58%, 4.23%
Credit Suisse MACS Dynamic P, Dividende & Zins, 5, 1J, 8.95%, 5.86%
Deutsche Bank Zins & Dividende, Dividende & Zins, 5, 1J, 3.94%, 3.57%
DJE - Zins & Dividende I EUR, Dividende & Zins, 5, 1J, 9.25%, 5.72%
DJE Concept I, Dividende & Zins, 5, 1J, 12.0%, 9.03%
easyfolio 70, Dividende & Zins, 5, 1J, 11.68%, 8.03%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 5, 1J, 1.83%, 8.57%
Gothaer Comfort Balance, Dividende & Zins, 5, 1J, 9.26%, 5.8%
Haspa PB Strategie - Chance, Dividende & Zins, 5, 1J, 15.58%, 10.03%
Haspa PB Strategie - Wachstum, Dividende & Zins, 5, 1J, 6.94%, 5.15%
HSBC Strategie Dynamik AC, Dividende & Zins, 5, 1J, 11.74%, 8.28%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 5, 1J, 6.17%, 5.86%
Lampe Dynamik, Dividende & Zins, 5, 1J, 9.82%, 8.06%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 5, 1J, 9.11%, 8.01%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 5, 1J, 5.77%, 5.73%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 5, 1J, 10.27%, 6.33%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 5, 1J, 5.46%, 6.5%
Phaidros Fds - Balanced C, Dividende & Zins, 5, 1J, 11.34%, 5.63%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 5, 1J, 9.21%, 6.67%
Sauren Global Stable Growth A, Dividende & Zins, 5, 1J, 7.04%, 5.22%
STARS Flexibel A, Dividende & Zins, 5, 1J, 15.45%, 9.99%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 5, 1J, 13.44%, 6.92%
Vermögensm. - Fonds Universal A, Dividende & Zins, 5, 1J, 4.39%, 3.56%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 5, 1J, 11.71%, 17.49%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 5, 1J, 8.71%, 5.35%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 5, 1J, 9.07%, 8.69%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 5, 3J, 20.38%, 8.11%
Ampega Balanced 3 I (t), Dividende & Zins, 5, 3J, 39.17%, 11.44%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 5, 3J, 16.03%, 7.86%
AURETAS strategy growth (D) A, Dividende & Zins, 5, 3J, 18.91%, 6.92%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 5, 3J, 12.78%, 11.68%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 5, 3J, 7.96%, 4.42%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 5, 3J, 7.96%, 4.43%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 5, 3J, 9.77%, 4.79%
BHF Flexible Allocation FT, Dividende & Zins, 5, 3J, 17.82%, 10.4%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 5, 3J, 6.82%, 6.95%
Credit Suisse MACS Dynamic P, Dividende & Zins, 5, 3J, 23.35%, 8.3%
Deutsche Bank Zins & Dividende, Dividende & Zins, 5, 3J, 10.2%, 4.99%
DJE - Zins & Dividende I EUR, Dividende & Zins, 5, 3J, 33.86%, 7.0%
DJE Concept I, Dividende & Zins, 5, 3J, 26.33%, 10.81%
easyfolio 70, Dividende & Zins, 5, 3J, 24.4%, 11.53%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 5, 3J, 18.57%, 10.83%
Gothaer Comfort Balance, Dividende & Zins, 5, 3J, 10.39%, 6.46%
Haspa PB Strategie - Chance, Dividende & Zins, 5, 3J, 19.59%, 12.95%
Haspa PB Strategie - Wachstum, Dividende & Zins, 5, 3J, 7.61%, 6.74%
HSBC Strategie Dynamik AC, Dividende & Zins, 5, 3J, 21.94%, 12.08%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 5, 3J, 9.87%, 7.34%
Lampe Dynamik, Dividende & Zins, 5, 3J, 9.63%, 12.07%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 5, 3J, 12.82%, 8.4%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 5, 3J, 11.94%, 6.87%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 5, 3J, 15.69%, 9.73%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 5, 3J, 1.08%, 12.82%
Phaidros Fds - Balanced C, Dividende & Zins, 5, 3J, 26.08%, 8.75%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 5, 3J, 15.14%, 9.66%
Sauren Global Stable Growth A, Dividende & Zins, 5, 3J, 17.94%, 6.27%
STARS Flexibel A, Dividende & Zins, 5, 3J, 18.82%, 11.64%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 5, 3J, 17.04%, 8.84%
Vermögensm. - Fonds Universal A, Dividende & Zins, 5, 3J, 11.68%, 4.51%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 5, 3J, 3.54%, 17.93%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 5, 3J, 8.12%, 8.66%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 5, 3J, 11.07%, 12.5%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 5, 5J, 45.79%, 7.09%
Ampega Balanced 3 I (t), Dividende & Zins, 5, 5J, 96.89%, 11.52%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 5, 5J, 33.59%, 6.89%
AURETAS strategy growth (D) A, Dividende & Zins, 5, 5J, 42.86%, 6.39%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 5, 5J, 38.71%, 10.66%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 5, 5J, 20.84%, 4.1%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 5, 5J, 20.79%, 4.1%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 5, 5J, 22.13%, 4.29%
BHF Flexible Allocation FT, Dividende & Zins, 5, 5J, 39.46%, 9.2%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 5, 5J, 19.33%, 6.18%
Credit Suisse MACS Dynamic P, Dividende & Zins, 5, 5J, 48.31%, 7.8%
Deutsche Bank Zins & Dividende, Dividende & Zins, 5, 5J, n/a, n/a
DJE - Zins & Dividende I EUR, Dividende & Zins, 5, 5J, 57.01%, 6.35%
DJE Concept I, Dividende & Zins, 5, 5J, 48.51%, 10.23%
easyfolio 70, Dividende & Zins, 5, 5J, n/a, n/a
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 5, 5J, 55.51%, 9.89%
Gothaer Comfort Balance, Dividende & Zins, 5, 5J, 31.11%, 5.84%
Haspa PB Strategie - Chance, Dividende & Zins, 5, 5J, 44.14%, 11.15%
Haspa PB Strategie - Wachstum, Dividende & Zins, 5, 5J, 24.5%, 6.03%
HSBC Strategie Dynamik AC, Dividende & Zins, 5, 5J, 47.27%, 10.82%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 5, 5J, 17.39%, 6.46%
Lampe Dynamik, Dividende & Zins, 5, 5J, 38.86%, 10.84%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 5, 5J, 30.04%, 7.7%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 5, 5J, n/a, n/a
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 5, 5J, n/a, n/a
Oppenheim Dynamic Europe Bal., Dividende & Zins, 5, 5J, 36.67%, 11.74%
Phaidros Fds - Balanced C, Dividende & Zins, 5, 5J, 47.61%, 7.52%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 5, 5J, 40.83%, 8.86%
Sauren Global Stable Growth A, Dividende & Zins, 5, 5J, 41.82%, 5.77%
STARS Flexibel A, Dividende & Zins, 5, 5J, n/a, n/a
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 5, 5J, 46.24%, 8.32%
Vermögensm. - Fonds Universal A, Dividende & Zins, 5, 5J, 9.8%, 4.28%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 5, 5J, 15.48%, 16.96%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 5, 5J, 31.56%, 8.57%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 5, 5J, 37.42%, 11.4%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 4, 1J, 11.05%, 7.51%
Ampega Balanced 3 I (t), Dividende & Zins, 4, 1J, 13.39%, 9.71%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 4, 1J, 7.44%, 5.44%
AURETAS strategy growth (D) A, Dividende & Zins, 4, 1J, 6.34%, 5.67%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 4, 1J, 13.14%, 9.64%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 4, 1J, 7.2%, 3.62%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 4, 1J, 7.19%, 3.62%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 4, 1J, 4.42%, 3.45%
BHF Flexible Allocation FT, Dividende & Zins, 4, 1J, 8.34%, 8.05%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 4, 1J, 5.73%, 4.31%
Credit Suisse MACS Dynamic P, Dividende & Zins, 4, 1J, 11.08%, 5.99%
Deutsche Bank Zins & Dividende, Dividende & Zins, 4, 1J, 5.08%, 3.6%
DJE - Zins & Dividende I EUR, Dividende & Zins, 4, 1J, 10.15%, 5.76%
DJE Concept I, Dividende & Zins, 4, 1J, 11.34%, 9.15%
easyfolio 70, Dividende & Zins, 4, 1J, 13.86%, 8.2%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 4, 1J, 4.43%, 8.56%
Gothaer Comfort Balance, Dividende & Zins, 4, 1J, 8.27%, 5.95%
Haspa PB Strategie - Chance, Dividende & Zins, 4, 1J, 16.91%, 10.45%
Haspa PB Strategie - Wachstum, Dividende & Zins, 4, 1J, 7.25%, 5.34%
HSBC Strategie Dynamik AC, Dividende & Zins, 4, 1J, 13.92%, 8.6%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 4, 1J, 7.15%, 6.05%
Lampe Dynamik, Dividende & Zins, 4, 1J, 12.07%, 8.31%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 4, 1J, 8.89%, 8.03%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 4, 1J, 6.65%, 5.83%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 4, 1J, 11.9%, 6.54%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 4, 1J, 4.6%, 6.12%
Phaidros Fds - Balanced C, Dividende & Zins, 4, 1J, 12.55%, 5.71%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 4, 1J, 10.24%, 6.71%
Sauren Global Stable Growth A, Dividende & Zins, 4, 1J, 7.11%, 5.21%
STARS Flexibel A, Dividende & Zins, 4, 1J, 15.38%, 9.79%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 4, 1J, 13.34%, 7.08%
Vermögensm. - Fonds Universal A, Dividende & Zins, 4, 1J, 4.87%, 3.58%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 4, 1J, 9.59%, 18.01%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 4, 1J, 8.35%, 5.44%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 4, 1J, 9.4%, 8.82%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 4, 3J, 20.56%, 8.12%
Ampega Balanced 3 I (t), Dividende & Zins, 4, 3J, 41.09%, 11.45%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 4, 3J, 17.29%, 7.89%
AURETAS strategy growth (D) A, Dividende & Zins, 4, 3J, 22.09%, 6.94%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 4, 3J, 13.77%, 11.7%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 4, 3J, 8.42%, 4.43%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 4, 3J, 8.42%, 4.44%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 4, 3J, 10.72%, 4.81%
BHF Flexible Allocation FT, Dividende & Zins, 4, 3J, 19.02%, 10.42%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 4, 3J, 8.8%, 6.98%
Credit Suisse MACS Dynamic P, Dividende & Zins, 4, 3J, 26.23%, 8.33%
Deutsche Bank Zins & Dividende, Dividende & Zins, 4, 3J, 11.88%, 5.03%
DJE - Zins & Dividende I EUR, Dividende & Zins, 4, 3J, 36.83%, 7.01%
DJE Concept I, Dividende & Zins, 4, 3J, 28.36%, 10.89%
easyfolio 70, Dividende & Zins, 4, 3J, 28.66%, 11.4%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 4, 3J, 22.77%, 10.89%
Gothaer Comfort Balance, Dividende & Zins, 4, 3J, 11.05%, 6.5%
Haspa PB Strategie - Chance, Dividende & Zins, 4, 3J, 21.57%, 13.05%
Haspa PB Strategie - Wachstum, Dividende & Zins, 4, 3J, 8.84%, 6.77%
HSBC Strategie Dynamik AC, Dividende & Zins, 4, 3J, 25.13%, 12.16%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 4, 3J, 12.14%, 7.35%
Lampe Dynamik, Dividende & Zins, 4, 3J, 11.16%, 12.15%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 4, 3J, 14.5%, 8.4%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 4, 3J, 14.39%, 6.94%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 4, 3J, 18.27%, 9.77%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 4, 3J, 1.11%, 12.82%
Phaidros Fds - Balanced C, Dividende & Zins, 4, 3J, 28.41%, 8.77%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 4, 3J, 17.28%, 9.75%
Sauren Global Stable Growth A, Dividende & Zins, 4, 3J, 18.2%, 6.29%
STARS Flexibel A, Dividende & Zins, 4, 3J, 22.27%, 11.64%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 4, 3J, 17.88%, 8.9%
Vermögensm. - Fonds Universal A, Dividende & Zins, 4, 3J, 13.7%, 4.57%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 4, 3J, 3.92%, 17.93%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 4, 3J, 10.15%, 8.76%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 4, 3J, 13.65%, 12.58%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 4, 5J, 43.08%, 7.11%
Ampega Balanced 3 I (t), Dividende & Zins, 4, 5J, 89.55%, 11.6%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 4, 5J, 29.83%, 6.94%
AURETAS strategy growth (D) A, Dividende & Zins, 4, 5J, 38.38%, 6.4%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 4, 5J, 30.6%, 10.71%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 4, 5J, 18.14%, 4.11%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 4, 5J, 18.09%, 4.12%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 4, 5J, 20.93%, 4.3%
BHF Flexible Allocation FT, Dividende & Zins, 4, 5J, 35.58%, 9.22%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 4, 5J, 17.85%, 6.2%
Credit Suisse MACS Dynamic P, Dividende & Zins, 4, 5J, 44.55%, 7.82%
Deutsche Bank Zins & Dividende, Dividende & Zins, 4, 5J, n/a, n/a
DJE - Zins & Dividende I EUR, Dividende & Zins, 4, 5J, 54.75%, 6.37%
DJE Concept I, Dividende & Zins, 4, 5J, 43.28%, 10.34%
easyfolio 70, Dividende & Zins, 4, 5J, n/a, n/a
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 4, 5J, 49.13%, 9.92%
Gothaer Comfort Balance, Dividende & Zins, 4, 5J, 24.45%, 5.86%
Haspa PB Strategie - Chance, Dividende & Zins, 4, 5J, 39.07%, 11.14%
Haspa PB Strategie - Wachstum, Dividende & Zins, 4, 5J, 21.47%, 6.03%
HSBC Strategie Dynamik AC, Dividende & Zins, 4, 5J, 41.59%, 10.83%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 4, 5J, 16.33%, 6.48%
Lampe Dynamik, Dividende & Zins, 4, 5J, 33.33%, 10.89%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 4, 5J, 25.25%, 7.8%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 4, 5J, n/a, n/a
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 4, 5J, n/a, n/a
Oppenheim Dynamic Europe Bal., Dividende & Zins, 4, 5J, 29.65%, 11.75%
Phaidros Fds - Balanced C, Dividende & Zins, 4, 5J, 46.52%, 7.53%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 4, 5J, 35.39%, 8.87%
Sauren Global Stable Growth A, Dividende & Zins, 4, 5J, 37.89%, 5.79%
STARS Flexibel A, Dividende & Zins, 4, 5J, n/a, n/a
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 4, 5J, 40.01%, 8.36%
Vermögensm. - Fonds Universal A, Dividende & Zins, 4, 5J, 9.46%, 4.29%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 4, 5J, 8.64%, 17.04%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 4, 5J, 24.77%, 8.63%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 4, 5J, 33.27%, 11.4%
BvS MMS Defensiv, BvS Defensiv, 8, 1J, 4.0%, 2.6%
BvS MMS Defensiv, BvS Defensiv, 8, 3J, 14.2%, 3.9%
BvS MMS Defensiv, BvS Defensiv, 8, 5J, 37.3%, 3.5%
BvS MMS Defensiv, BvS Defensiv, 7, 1J, 5.1%, 2.7%
BvS MMS Defensiv, BvS Defensiv, 7, 3J, 16.7%, 4.0%
BvS MMS Defensiv, BvS Defensiv, 7, 5J, 38.9%, 3.5%
BvS MMS Defensiv, BvS Defensiv, 6, 1J, 7.1%, 2.8%
